area_id,area_name,b05003d001,b05003d001_moe,b05003d002,b05003d002_moe,b05003d003,b05003d003_moe,b05003d004,b05003d004_moe,b05003d005,b05003d005_moe,b05003d006,b05003d006_moe,b05003d007,b05003d007_moe,b05003d008,b05003d008_moe,b05003d009,b05003d009_moe,b05003d010,b05003d010_moe,b05003d011,b05003d011_moe,b05003d012,b05003d012_moe,b05003d013,b05003d013_moe,b05003d014,b05003d014_moe,b05003d015,b05003d015_moe,b05003d016,b05003d016_moe,b05003d017,b05003d017_moe,b05003d018,b05003d018_moe,b05003d019,b05003d019_moe,b05003d020,b05003d020_moe,b05003d021,b05003d021_moe,b05003d022,b05003d022_moe,b05003d023,b05003d023_moe
QN31,Hunters Point-Sunnyside-West Maspeth,15435,1259,7261,769,1253,292,727,191,526,195,95,76,431,186,6008,648,797,207,5211,602,2193,412,3018,419,8174,762,1257,293,743,228,514,196,73,77,441,187,6917,664,692,206,6225,631,2305,386,3920,526
QN33,Cambria Heights,423,224,200,110,38,52,35,53,3,42,0,43,3,42,162,94,5,42,157,95,141,93,16,42,223,126,67,73,65,73,2,43,0,43,2,43,156,88,4,42,152,89,111,81,41,54
QN34,Queens Village,10692,1056,5205,578,891,209,708,201,183,91,90,76,93,79,4314,480,331,127,3983,457,2729,377,1254,251,5487,582,1154,245,952,231,202,104,120,86,82,72,4333,453,370,134,3963,433,2615,318,1348,270
QN35,Briarwood-Jamaica Hills,13852,1294,7087,751,1350,269,1009,224,341,137,137,79,204,106,5737,626,902,258,4835,560,2728,365,2107,442,6765,710,1151,289,958,277,193,104,56,70,137,88,5614,577,815,249,4799,517,2833,368,1966,341
QN37,Kew Gardens Hills,8478,1115,3978,577,887,244,617,206,270,126,137,122,133,84,3091,455,564,254,2527,377,1653,323,874,245,4500,650,761,238,577,225,184,121,174,121,10,41,3739,496,270,127,3469,487,2328,382,1141,297
QN38,Pomonok-Flushing Heights-Hillcrest,10810,1047,5267,600,1116,250,898,218,218,120,20,45,198,117,4151,491,478,154,3673,464,2045,348,1628,318,5543,594,1117,320,980,293,137,91,23,43,114,87,4426,441,479,160,3947,447,2211,340,1736,385
QN41,Fresh Meadows-Utopia,9149,960,4521,532,1136,339,817,284,319,208,15,27,304,207,3385,359,374,123,3011,335,1637,296,1374,307,4628,561,1149,378,915,269,234,203,0,27,234,203,3479,360,320,125,3159,354,1717,312,1442,334
QN42,Oakland Gardens,12198,1038,5988,619,1795,333,1652,334,143,87,71,73,72,56,4193,424,538,195,3655,407,2649,347,1006,299,6210,635,1504,350,1268,291,236,170,170,155,66,73,4706,434,467,168,4239,374,2896,369,1343,316
QN43,Bellerose,10245,1205,5214,686,1541,363,1224,294,317,197,124,118,193,162,3673,450,574,171,3099,409,2169,346,930,267,5031,624,1363,288,1143,258,220,133,93,84,127,103,3668,427,454,165,3214,382,2145,327,1069,268
QN44,Glen Oaks-Floral Park-New Hyde Park,7241,903,3437,472,769,190,714,182,55,62,44,60,11,32,2668,366,328,133,2340,347,1819,324,521,171,3804,522,744,226,692,222,52,42,12,32,40,38,3060,393,510,163,2550,375,1642,234,908,255
QN45,Douglas Manor-Douglaston-Little Neck,9427,960,4871,583,1393,289,1082,246,311,170,19,37,292,171,3478,469,719,250,2759,402,1833,305,926,293,4556,509,1004,266,885,248,119,86,4,38,115,83,3552,382,378,137,3174,372,2189,310,985,242
QN46,Bayside-Bayside Hills,15452,1006,7485,585,1803,279,1398,248,405,158,31,55,374,153,5682,454,662,143,5020,432,3219,324,1801,317,7967,570,1393,242,1282,229,111,83,63,72,48,64,6574,467,750,172,5824,437,3594,343,2230,336
QN47,Ft. Totten-Bay Terrace-Clearview,5760,1407,2672,643,623,317,536,310,87,91,0,34,87,91,2049,414,327,186,1722,381,1081,313,641,250,3088,846,572,247,572,247,0,34,0,34,0,34,2516,779,519,444,1997,515,1327,333,670,413
QN48,Auburndale,8669,813,4334,468,1037,218,870,204,167,82,47,46,120,73,3297,346,496,146,2801,302,1753,265,1048,272,4335,446,648,164,579,154,69,67,14,36,55,65,3687,373,482,150,3205,354,2060,283,1145,251
QN49,Whitestone,5220,790,2502,418,507,185,395,143,112,126,8,38,104,126,1995,325,332,121,1663,300,1113,229,550,179,2718,434,685,232,641,231,44,45,20,41,24,40,2033,305,237,103,1796,292,1261,252,535,189
QN50,Elmhurst-Maspeth,14364,1093,7019,633,1219,266,818,209,401,149,104,62,297,134,5800,531,487,159,5313,510,2555,346,2758,453,7345,656,1291,252,1108,229,183,101,38,44,145,93,6054,513,519,177,5535,467,2562,330,2973,415
