area_id,area_name,b25012001,b25012001_moe,b25012002,b25012002_moe,b25012003,b25012003_moe,b25012004,b25012004_moe,b25012005,b25012005_moe,b25012006,b25012006_moe,b25012007,b25012007_moe,b25012008,b25012008_moe,b25012009,b25012009_moe,b25012010,b25012010_moe,b25012011,b25012011_moe,b25012012,b25012012_moe,b25012013,b25012013_moe,b25012014,b25012014_moe,b25012015,b25012015_moe,b25012016,b25012016_moe,b25012017,b25012017_moe
QN47,Ft. Totten-Bay Terrace-Clearview,10253,230,7061,426,1294,236,1225,225,359,147,193,101,673,172,69,81,5767,413,3192,418,1011,304,992,302,240,100,164,134,588,278,19,38,2181,372
QN48,Auburndale,7182,195,4783,265,1469,198,1300,191,289,115,164,72,847,161,169,79,3314,248,2399,265,912,215,880,211,473,161,29,36,378,132,32,53,1487,227
QN49,Whitestone,11544,267,8050,371,2206,276,2061,274,544,169,221,88,1296,222,145,88,5844,340,3494,386,1583,294,1552,294,440,172,248,125,864,219,31,43,1911,313
QN50,Elmhurst-Maspeth,8352,206,3513,267,811,169,706,161,179,68,110,67,417,141,105,57,2702,259,4839,293,1814,249,1667,244,478,155,260,111,929,196,147,83,3025,297
QN51,Murray Hill,17877,360,8033,412,2310,273,1992,261,467,156,311,115,1214,206,318,107,5723,382,9844,461,2851,355,2649,346,974,259,374,149,1301,253,202,109,6993,456
QN52,East Flushing,8870,210,4456,269,1507,186,1265,175,232,87,177,76,856,153,242,91,2949,240,4414,280,1311,218,1215,207,344,118,190,101,681,167,96,75,3103,265
QN53,Woodhaven,17140,353,8313,402,3662,326,3135,310,551,148,666,154,1918,250,527,138,4651,329,8827,427,4434,388,4084,375,1038,214,1158,227,1888,264,350,118,4393,369
QN54,Richmond Hill,17535,357,8483,400,4088,318,3441,311,368,111,634,137,2439,276,647,147,4395,324,9052,426,4259,360,3859,353,642,157,930,195,2287,290,400,128,4793,373
QN55,South Ozone Park,22031,419,13967,508,5960,431,4711,405,534,163,915,227,3262,328,1249,201,8007,441,8064,494,3884,409,3448,399,844,213,559,167,2045,321,436,135,4180,415
QN56,Ozone Park,6837,257,3912,304,1680,253,1546,247,385,126,270,110,891,198,134,68,2232,244,2925,311,1364,254,1338,252,290,129,313,143,735,199,26,48,1561,244
QN57,Lindenwood-Howard Beach,11261,243,8232,383,1852,256,1529,246,463,183,121,88,945,192,323,152,6380,412,3029,393,1159,291,1144,289,261,154,339,182,544,221,15,37,1870,340
QN60,Kew Gardens,9997,270,3557,304,729,184,678,172,261,112,31,36,386,142,51,62,2828,272,6440,352,1437,250,1341,242,426,144,187,91,728,193,96,95,5003,357
